id;gender;age;address;vaccine_status;details
0;f;58;random adress 0;0;Larum Ipsum Lorum
1;m;31;random adress 1;1;Larum Ipsum Lorum
2;f;99;random adress 2;1;Larum Ipsum Lorum
3;f;76;random adress 3;1;Larum Ipsum Lorum
4;f;30;random adress 4;0;Larum Ipsum Lorum
5;m;87;random adress 5;0;Larum Ipsum Lorum
6;m;91;random adress 6;1;Larum Ipsum Lorum
7;f;22;random adress 7;0;Larum Ipsum Lorum
8;f;48;random adress 8;0;Larum Ipsum Lorum
9;f;52;random adress 9;0;Larum Ipsum Lorum
10;m;5;random adress 10;1;Larum Ipsum Lorum
11;f;64;random adress 11;0;Larum Ipsum Lorum
12;f;82;random adress 12;1;Larum Ipsum Lorum
13;m;8;random adress 13;1;Larum Ipsum Lorum
14;m;42;random adress 14;0;Larum Ipsum Lorum
15;f;16;random adress 15;0;Larum Ipsum Lorum
16;f;65;random adress 16;1;Larum Ipsum Lorum
17;m;53;random adress 17;1;Larum Ipsum Lorum
18;f;40;random adress 18;1;Larum Ipsum Lorum
19;f;32;random adress 19;1;Larum Ipsum Lorum
20;f;10;random adress 20;1;Larum Ipsum Lorum
21;m;89;random adress 21;0;Larum Ipsum Lorum
22;m;86;random adress 22;1;Larum Ipsum Lorum
23;f;29;random adress 23;1;Larum Ipsum Lorum
24;m;54;random adress 24;0;Larum Ipsum Lorum
25;m;36;random adress 25;1;Larum Ipsum Lorum
26;f;38;random adress 26;0;Larum Ipsum Lorum
27;f;61;random adress 27;1;Larum Ipsum Lorum
28;m;45;random adress 28;0;Larum Ipsum Lorum
29;f;13;random adress 29;1;Larum Ipsum Lorum
30;m;89;random adress 30;1;Larum Ipsum Lorum
31;m;85;random adress 31;1;Larum Ipsum Lorum
32;m;73;random adress 32;0;Larum Ipsum Lorum
33;f;87;random adress 33;0;Larum Ipsum Lorum
34;m;31;random adress 34;1;Larum Ipsum Lorum
35;m;75;random adress 35;1;Larum Ipsum Lorum
36;m;40;random adress 36;1;Larum Ipsum Lorum
37;f;46;random adress 37;1;Larum Ipsum Lorum
38;f;45;random adress 38;0;Larum Ipsum Lorum
39;m;28;random adress 39;0;Larum Ipsum Lorum
40;f;37;random adress 40;0;Larum Ipsum Lorum
41;m;3;random adress 41;1;Larum Ipsum Lorum
42;m;91;random adress 42;0;Larum Ipsum Lorum
43;f;10;random adress 43;1;Larum Ipsum Lorum
44;f;0;random adress 44;0;Larum Ipsum Lorum
45;f;57;random adress 45;1;Larum Ipsum Lorum
46;f;55;random adress 46;0;Larum Ipsum Lorum
47;m;84;random adress 47;1;Larum Ipsum Lorum
48;f;79;random adress 48;1;Larum Ipsum Lorum
49;m;51;random adress 49;0;Larum Ipsum Lorum
50;m;56;random adress 50;1;Larum Ipsum Lorum
51;f;7;random adress 51;0;Larum Ipsum Lorum
52;m;78;random adress 52;0;Larum Ipsum Lorum
53;m;27;random adress 53;0;Larum Ipsum Lorum
54;m;9;random adress 54;1;Larum Ipsum Lorum
55;f;62;random adress 55;0;Larum Ipsum Lorum
56;f;79;random adress 56;1;Larum Ipsum Lorum
57;m;64;random adress 57;0;Larum Ipsum Lorum
58;m;50;random adress 58;0;Larum Ipsum Lorum
59;f;6;random adress 59;0;Larum Ipsum Lorum
60;m;88;random adress 60;1;Larum Ipsum Lorum
61;f;44;random adress 61;0;Larum Ipsum Lorum
62;f;13;random adress 62;1;Larum Ipsum Lorum
63;f;61;random adress 63;1;Larum Ipsum Lorum
64;f;46;random adress 64;0;Larum Ipsum Lorum
65;f;45;random adress 65;0;Larum Ipsum Lorum
66;m;62;random adress 66;0;Larum Ipsum Lorum
67;m;20;random adress 67;0;Larum Ipsum Lorum
68;m;61;random adress 68;1;Larum Ipsum Lorum
69;m;71;random adress 69;0;Larum Ipsum Lorum
70;f;36;random adress 70;1;Larum Ipsum Lorum
71;f;60;random adress 71;0;Larum Ipsum Lorum
72;m;25;random adress 72;0;Larum Ipsum Lorum
73;f;87;random adress 73;0;Larum Ipsum Lorum
74;m;52;random adress 74;1;Larum Ipsum Lorum
75;f;2;random adress 75;0;Larum Ipsum Lorum
76;m;53;random adress 76;1;Larum Ipsum Lorum
77;f;58;random adress 77;1;Larum Ipsum Lorum
78;m;36;random adress 78;0;Larum Ipsum Lorum
79;m;99;random adress 79;0;Larum Ipsum Lorum
80;m;85;random adress 80;0;Larum Ipsum Lorum
81;f;45;random adress 81;0;Larum Ipsum Lorum
82;m;90;random adress 82;1;Larum Ipsum Lorum
83;f;47;random adress 83;0;Larum Ipsum Lorum
84;m;99;random adress 84;1;Larum Ipsum Lorum
85;f;77;random adress 85;0;Larum Ipsum Lorum
86;f;55;random adress 86;0;Larum Ipsum Lorum
87;m;76;random adress 87;0;Larum Ipsum Lorum
88;m;22;random adress 88;1;Larum Ipsum Lorum
89;f;28;random adress 89;0;Larum Ipsum Lorum
90;f;3;random adress 90;0;Larum Ipsum Lorum
91;f;52;random adress 91;1;Larum Ipsum Lorum
92;m;46;random adress 92;0;Larum Ipsum Lorum
93;f;87;random adress 93;1;Larum Ipsum Lorum
94;f;83;random adress 94;1;Larum Ipsum Lorum
95;f;81;random adress 95;0;Larum Ipsum Lorum
96;m;52;random adress 96;0;Larum Ipsum Lorum
97;m;34;random adress 97;0;Larum Ipsum Lorum
98;f;49;random adress 98;1;Larum Ipsum Lorum
99;m;41;random adress 99;1;Larum Ipsum Lorum
100;m;38;random adress 100;0;Larum Ipsum Lorum
101;f;78;random adress 101;1;Larum Ipsum Lorum
102;m;96;random adress 102;0;Larum Ipsum Lorum
103;m;35;random adress 103;0;Larum Ipsum Lorum
104;m;79;random adress 104;0;Larum Ipsum Lorum
105;m;37;random adress 105;1;Larum Ipsum Lorum
106;f;59;random adress 106;1;Larum Ipsum Lorum
107;m;92;random adress 107;0;Larum Ipsum Lorum
108;m;76;random adress 108;0;Larum Ipsum Lorum
109;f;65;random adress 109;1;Larum Ipsum Lorum
110;m;46;random adress 110;1;Larum Ipsum Lorum
111;f;82;random adress 111;1;Larum Ipsum Lorum
112;m;31;random adress 112;1;Larum Ipsum Lorum
113;f;35;random adress 113;1;Larum Ipsum Lorum
114;f;69;random adress 114;0;Larum Ipsum Lorum
115;m;28;random adress 115;0;Larum Ipsum Lorum
116;f;62;random adress 116;0;Larum Ipsum Lorum
117;m;95;random adress 117;0;Larum Ipsum Lorum
118;m;45;random adress 118;1;Larum Ipsum Lorum
119;f;67;random adress 119;1;Larum Ipsum Lorum
120;f;13;random adress 120;1;Larum Ipsum Lorum
121;f;63;random adress 121;1;Larum Ipsum Lorum
122;m;12;random adress 122;1;Larum Ipsum Lorum
123;m;81;random adress 123;1;Larum Ipsum Lorum
124;f;25;random adress 124;1;Larum Ipsum Lorum
